dataset,target_model,seed_size,alpha,depth
nsl_kdd,tabnet,500,0.1,3
nsl_kdd,tabnet,500,0.1,5
nsl_kdd,tabnet,500,0.1,7
nsl_kdd,tabnet,500,0.2,3
nsl_kdd,tabnet,500,0.2,5
nsl_kdd,tabnet,500,0.2,7
nsl_kdd,tabnet,500,0.5,3
nsl_kdd,tabnet,500,0.5,5
nsl_kdd,tabnet,500,0.5,7
nsl_kdd,tabnet,1000,0.1,3
nsl_kdd,tabnet,1000,0.1,5
nsl_kdd,tabnet,1000,0.1,7
nsl_kdd,tabnet,1000,0.2,3
nsl_kdd,tabnet,1000,0.2,5
nsl_kdd,tabnet,1000,0.2,7
nsl_kdd,tabnet,1000,0.5,3
nsl_kdd,tabnet,1000,0.5,5
nsl_kdd,tabnet,1000,0.5,7
nsl_kdd,tabnet,2000,0.1,3
nsl_kdd,tabnet,2000,0.1,5
nsl_kdd,tabnet,2000,0.1,7
nsl_kdd,tabnet,2000,0.2,3
nsl_kdd,tabnet,2000,0.2,5
nsl_kdd,tabnet,2000,0.2,7
nsl_kdd,tabnet,2000,0.5,3
nsl_kdd,tabnet,2000,0.5,5
nsl_kdd,tabnet,2000,0.5,7
